source_dataset,cement,sand,gravel,water,plasticizer_kg,fly_ash,microsilica_kg,strength_1,strength_3,strength_7,strength_28
synthetic,314.0,843.0,1011.0,187.0,0.0,0.0,0.0,14.5,19.9,24.1,33.9
synthetic,320.0,860.0,1010.0,180.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
synthetic,251.0,861.0,1022.0,180.0,3.05,0.0,20.0,7.7,17.4,24.3,34.5
synthetic,312.0,835.0,1012.0,190.0,0.0,0.0,0.0,14.6,19.4,23.3,32.6
synthetic,271.0,859.0,1023.0,180.0,3.11,0.0,17.1,7.7,17.4,24.3,34.5
synthetic,251.0,860.0,1025.0,191.0,3.42,0.0,21.2,6.4,15.7,22.3,32.4
synthetic,275.0,858.0,1023.0,180.0,3.07,0.0,14.7,10.4,19.6,25.9,34.8
synthetic,252.0,865.0,1025.0,185.0,3.53,0.0,28.0,6.4,15.7,22.3,32.4
synthetic,252.0,865.0,1025.0,184.0,3.45,0.0,28.0,6.4,15.7,22.3,32.4
synthetic,320.0,860.0,1010.0,180.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
synthetic,252.0,865.0,1025.0,180.0,2.77,0.0,28.0,6.4,15.7,22.3,32.4
synthetic,311.0,833.0,1012.0,191.0,0.0,0.0,0.0,14.6,19.4,23.3,32.6
synthetic,260.0,863.0,1024.0,180.0,3.21,0.0,23.6,7.7,17.4,24.3,34.5
synthetic,250.0,858.0,1025.0,191.0,3.23,0.0,17.4,6.4,15.7,22.3,32.4
synthetic,320.0,860.0,1010.0,180.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
synthetic,314.0,843.0,1011.0,187.0,0.0,0.0,0.0,14.5,19.9,24.1,33.9
synthetic,318.0,855.0,1010.0,182.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
synthetic,316.0,847.0,1011.0,185.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
synthetic,319.0,858.0,1010.0,181.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
synthetic,312.0,837.0,1012.0,189.0,0.0,0.0,0.0,13.8,19.4,23.8,33.9
synthetic,234.0,865.0,1025.0,185.0,1.22,0.0,28.0,7.5,16.3,23.6,33.7
synthetic,231.0,858.0,1023.0,189.0,0.5,0.0,22.4,6.4,14.4,21.2,31.6
synthetic,226.0,865.0,1025.0,188.0,1.0,0.0,28.0,7.5,16.3,23.6,33.7
synthetic,225.0,865.0,1025.0,188.0,0.99,0.0,28.0,7.5,16.3,23.6,33.7
synthetic,245.0,864.0,1025.0,183.0,2.32,0.0,28.0,6.4,15.7,22.3,32.4
synthetic,228.0,859.0,1025.0,191.0,0.16,0.0,26.1,6.4,14.4,21.2,31.6
synthetic,229.0,859.0,1021.0,186.0,1.07,0.0,15.9,9.1,17.9,24.1,33.1
synthetic,228.0,865.0,1025.0,187.0,1.2,0.0,28.0,7.5,16.3,23.6,33.7
synthetic,244.0,863.0,1025.0,184.0,2.18,0.0,28.0,7.5,16.3,23.6,33.7
synthetic,227.0,865.0,1025.0,191.0,1.3,0.0,28.0,7.5,16.3,23.6,33.7
synthetic,236.0,856.0,1021.0,186.0,1.09,0.0,15.7,9.1,17.9,24.1,33.1
synthetic,222.0,865.0,1025.0,189.0,0.69,0.0,28.0,7.5,16.3,23.6,33.7
synthetic,222.0,862.0,1025.0,191.0,0.0,0.0,28.0,6.4,14.4,21.2,31.6
synthetic,238.0,862.0,1025.0,186.0,1.43,0.0,28.0,7.5,16.3,23.6,33.7
synthetic,248.0,865.0,1025.0,181.0,2.0,0.0,28.0,6.4,15.7,22.3,32.4
synthetic,246.0,865.0,1025.0,182.0,2.74,0.0,28.0,6.4,15.7,22.3,32.4
synthetic,243.0,853.0,1017.0,181.0,2.15,0.0,3.7,16.1,25.0,30.9,37.6
synthetic,219.0,865.0,1025.0,190.0,0.4,0.0,28.0,7.6,16.1,22.7,32.7
synthetic,266.0,833.0,1015.0,180.0,2.66,0.0,0.0,15.4,25.1,30.8,38.2
synthetic,229.0,878.0,950.0,166.0,4.35,0.0,0.0,11.7,25.7,30.8,33.1
synthetic,269.0,829.0,1014.0,182.0,2.68,0.0,0.0,15.3,25.3,31.1,38.3
synthetic,257.0,837.0,1020.0,184.0,2.52,0.0,0.0,15.3,24.9,31.0,37.7
synthetic,272.0,890.0,976.0,152.0,3.46,0.0,0.0,16.4,26.8,32.4,38.7
synthetic,277.0,827.0,1011.0,186.0,2.76,0.0,0.0,15.3,25.1,30.2,37.4
synthetic,252.0,845.0,1023.0,188.0,2.41,0.0,0.0,15.3,24.9,31.0,37.7
synthetic,325.0,887.0,989.0,157.0,4.49,0.0,0.0,18.4,27.2,32.5,39.8
synthetic,247.0,848.0,1023.0,187.0,2.37,0.0,0.0,16.1,25.0,30.9,37.6
synthetic,329.0,887.0,989.0,157.0,4.57,0.0,0.0,18.4,27.2,32.5,39.8
synthetic,260.0,843.0,1018.0,185.0,2.53,0.0,0.0,15.3,24.9,31.0,37.7
synthetic,260.0,846.0,1013.0,180.0,2.52,0.0,0.0,17.0,25.9,31.3,38.4
synthetic,294.0,919.0,999.0,170.0,3.75,0.0,0.0,11.3,21.8,26.9,34.6
synthetic,270.0,841.0,1010.0,180.0,2.55,0.0,0.0,15.9,25.4,31.5,39.1
synthetic,249.0,844.0,1025.0,189.0,2.36,0.0,0.0,15.3,24.9,31.0,37.7
synthetic,264.0,831.0,1017.0,179.0,2.75,0.0,0.0,15.4,25.1,30.8,38.2
synthetic,250.0,844.0,1025.0,190.0,2.36,0.0,0.0,14.2,23.9,29.4,36.4
synthetic,265.0,832.0,1015.0,180.0,2.65,0.0,0.0,15.4,25.1,30.8,38.2
synthetic,283.0,899.0,985.0,155.0,3.41,0.0,0.0,16.7,26.1,31.1,37.4
synthetic,254.0,844.0,1021.0,187.0,2.44,0.0,0.0,15.3,24.9,31.0,37.7
synthetic,325.0,841.0,981.0,145.0,4.78,0.0,0.0,15.6,26.8,28.8,45.4
synthetic,246.0,883.0,960.0,160.0,4.0,0.0,0.0,16.4,26.8,32.4,38.7
synthetic,266.0,841.0,1014.0,182.0,2.51,0.0,0.0,15.9,24.9,30.9,38.1
synthetic,269.0,832.0,1015.0,189.0,2.64,0.0,0.0,14.5,24.6,29.9,37.3
synthetic,256.0,844.0,1020.0,186.0,2.47,0.0,0.0,15.3,24.9,31.0,37.7
synthetic,268.0,842.0,1011.0,180.0,2.68,0.0,0.0,15.9,24.9,30.9,38.1
synthetic,333.0,886.0,990.0,158.0,4.69,0.0,0.0,18.4,27.2,32.5,39.8
synthetic,284.0,899.0,986.0,155.0,3.42,0.0,0.0,16.7,26.1,31.1,37.4
synthetic,268.0,835.0,1013.0,180.0,2.68,0.0,0.0,15.4,25.1,30.8,38.2
lab_narrow,320.0,840.0,1010.0,180.0,2.68,0.0,0.0,17.2,25.5,27.5,33.8
lab_narrow,337.0,823.0,1010.0,180.0,3.01,0.0,0.0,15.7,25.5,27.6,33.6
lab_narrow,326.0,834.0,1010.0,180.0,2.83,0.0,0.0,16.1,24.7,27.2,33.2
lab_narrow,320.0,840.0,1010.0,180.0,2.62,0.0,0.0,17.2,25.5,27.5,33.8
lab_narrow,320.0,840.0,1010.0,180.0,2.62,0.0,0.0,17.2,25.5,27.5,33.8
lab_narrow,306.0,840.0,1010.0,180.0,2.56,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,318.0,843.0,1010.0,180.0,2.69,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,330.0,830.0,1010.0,180.0,2.89,0.0,0.0,15.7,25.5,27.6,33.6
lab_narrow,325.0,835.0,1010.0,180.0,2.81,0.0,0.0,16.1,24.7,27.2,33.2
lab_narrow,320.0,840.0,1010.0,180.0,2.6,0.0,0.0,17.2,25.5,27.5,33.8
lab_narrow,323.0,837.0,1010.0,180.0,2.62,0.0,0.0,17.2,25.5,27.5,33.8
lab_narrow,298.0,840.0,1010.0,180.0,2.63,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,326.0,834.0,1010.0,180.0,2.83,0.0,0.0,16.1,24.7,27.2,33.2
lab_narrow,316.0,847.0,1010.0,180.0,2.64,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,317.0,846.0,1010.0,180.0,2.66,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,334.0,826.0,1010.0,180.0,2.91,0.0,0.0,15.7,25.5,27.6,33.6
lab_narrow,320.0,840.0,1010.0,180.0,2.71,0.0,0.0,17.2,25.5,27.5,33.8
lab_narrow,313.0,844.0,1014.0,180.0,2.67,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,314.0,840.0,1010.0,180.0,2.56,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,336.0,820.0,1010.0,181.0,3.04,0.0,0.0,15.7,25.5,27.6,33.6
lab_narrow,307.0,857.0,1013.0,180.0,2.62,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,326.0,834.0,1010.0,180.0,2.83,0.0,0.0,16.1,24.7,27.2,33.2
lab_narrow,338.0,819.0,1000.0,181.0,3.03,0.0,0.0,17.1,27.2,27.6,36.7
lab_narrow,318.0,844.0,1010.0,180.0,2.55,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,321.0,839.0,1010.0,180.0,2.74,0.0,0.0,17.2,25.5,27.5,33.8
lab_narrow,323.0,837.0,1010.0,180.0,2.65,0.0,0.0,17.2,25.5,27.5,33.8
lab_narrow,333.0,827.0,1010.0,180.0,2.89,0.0,0.0,15.7,25.5,27.6,33.6
lab_narrow,316.0,840.0,1010.0,180.0,2.56,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,326.0,834.0,1010.0,180.0,2.83,0.0,0.0,16.1,24.7,27.2,33.2
lab_narrow,315.0,850.0,1010.0,180.0,2.61,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,302.0,856.0,1010.0,180.0,2.51,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,329.0,831.0,1010.0,180.0,2.78,0.0,0.0,15.7,25.5,27.6,33.6
lab_narrow,335.0,825.0,1010.0,180.0,2.97,0.0,0.0,15.7,25.5,27.6,33.6
lab_narrow,304.0,824.0,1009.0,187.0,2.84,0.0,0.0,14.2,24.0,28.0,35.8
lab_narrow,317.0,846.0,1010.0,180.0,2.54,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,332.0,828.0,1010.0,180.0,2.85,0.0,0.0,15.7,25.5,27.6,33.6
lab_narrow,303.0,824.0,1009.0,187.0,2.84,0.0,0.0,14.2,24.0,28.0,35.8
lab_narrow,304.0,854.0,1016.0,180.0,2.72,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,317.0,846.0,1010.0,180.0,2.65,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,337.0,818.0,993.0,181.0,3.02,0.0,0.0,17.1,27.2,27.6,36.7
lab_narrow,311.0,834.0,1010.0,183.0,2.65,0.0,0.0,15.1,25.2,30.5,38.3
lab_narrow,314.0,836.0,1010.0,182.0,2.63,0.0,0.0,16.2,25.8,31.8,39.4
lab_narrow,304.0,829.0,1009.0,186.0,2.78,0.0,0.0,15.1,25.2,30.5,38.3
lab_narrow,311.0,834.0,1010.0,183.0,2.66,0.0,0.0,15.1,25.2,30.5,38.3
lab_narrow,311.0,834.0,1010.0,183.0,2.66,0.0,0.0,15.1,25.2,30.5,38.3
lab_narrow,294.0,848.0,1018.0,180.0,2.82,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,309.0,859.0,1011.0,180.0,2.52,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,318.0,841.0,1011.0,180.0,2.73,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,302.0,852.0,1018.0,180.0,2.79,0.0,0.0,17.7,27.0,33.3,41.0
lab_narrow,317.0,851.0,1011.0,184.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
lab_narrow,320.0,860.0,1010.0,180.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
lab_narrow,317.0,852.0,1011.0,183.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
lab_narrow,314.0,843.0,1011.0,187.0,0.0,0.0,0.0,14.5,19.9,24.1,33.9
lab_narrow,320.0,860.0,1010.0,180.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
lab_narrow,312.0,835.0,1012.0,190.0,0.0,0.0,0.0,14.6,19.4,23.3,32.6
lab_narrow,320.0,860.0,1010.0,180.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
lab_narrow,311.0,833.0,1012.0,191.0,0.0,0.0,0.0,14.6,19.4,23.3,32.6
lab_narrow,320.0,860.0,1010.0,180.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
lab_narrow,314.0,843.0,1011.0,187.0,0.0,0.0,0.0,14.5,19.9,24.1,33.9
lab_narrow,318.0,855.0,1010.0,182.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
lab_narrow,316.0,847.0,1011.0,185.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
lab_narrow,319.0,858.0,1010.0,181.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9
lab_narrow,312.0,837.0,1012.0,189.0,0.0,0.0,0.0,13.8,19.4,23.8,33.9
lab_narrow,325.0,887.0,989.0,157.0,4.49,0.0,0.0,18.4,27.2,32.5,39.8
lab_narrow,294.0,919.0,999.0,170.0,3.75,0.0,0.0,11.3,21.8,26.9,34.6
lab_narrow,283.0,899.0,985.0,155.0,3.41,0.0,0.0,16.7,26.1,31.1,37.4
lab_narrow,284.0,899.0,986.0,155.0,3.42,0.0,0.0,16.7,26.1,31.1,37.4
