cement,sand,gravel,water,plasticizer_kg,fly_ash,microsilica_kg,strength_1,strength_3,strength_7,strength_28,source,imputed_early
286.0,854.0,963.0,187.0,0.91,0.0,0.0,11.7,14.0,21.8,28.8,synthetic,0
316.0,840.0,1010.0,180.0,2.56,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
326.0,834.0,1010.0,180.0,2.83,0.0,0.0,16.1,24.7,27.2,33.2,synthetic,0
315.0,850.0,1010.0,180.0,2.61,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
302.0,856.0,1010.0,180.0,2.51,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
276.0,842.0,1010.0,180.0,2.55,0.0,0.0,15.9,25.4,31.5,39.1,synthetic,0
291.0,852.0,960.0,184.0,1.43,0.0,0.0,11.7,14.0,21.8,28.8,synthetic,0
329.0,831.0,1010.0,180.0,2.78,0.0,0.0,15.7,25.5,27.6,33.6,synthetic,0
335.0,825.0,1010.0,180.0,2.97,0.0,0.0,15.7,25.5,27.6,33.6,synthetic,0
304.0,824.0,1009.0,187.0,2.84,0.0,0.0,14.2,24.0,28.0,35.8,synthetic,0
317.0,846.0,1010.0,180.0,2.54,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
332.0,828.0,1010.0,180.0,2.85,0.0,0.0,15.7,25.5,27.6,33.6,synthetic,0
294.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.1,25.2,31.0,38.2,synthetic,0
291.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
303.0,824.0,1009.0,187.0,2.84,0.0,0.0,14.2,24.0,28.0,35.8,synthetic,0
290.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
330.0,825.0,1009.0,188.0,2.8,36.8,0.0,13.5,24.4,27.0,31.3,synthetic,0
328.0,825.0,1009.0,188.0,2.8,30.6,0.0,13.6,24.4,27.0,31.3,synthetic,0
293.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
304.0,854.0,1016.0,180.0,2.72,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
282.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
319.0,823.0,1007.0,177.0,3.74,73.8,0.0,12.9,16.3,31.8,29.3,synthetic,0
317.0,846.0,1010.0,180.0,2.65,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
288.0,853.0,962.0,186.0,1.12,0.0,0.0,11.7,14.0,21.8,28.8,synthetic,0
274.0,828.0,1012.0,185.0,2.73,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
337.0,818.0,993.0,181.0,3.02,0.0,0.0,17.1,27.2,27.6,36.7,synthetic,0
290.0,849.0,1010.0,180.0,2.62,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
332.0,824.0,1009.0,186.0,2.86,25.4,0.0,13.6,24.4,27.0,31.3,synthetic,0
309.0,857.0,1009.0,171.0,4.24,53.7,0.0,16.2,25.8,31.7,38.5,synthetic,0
291.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
332.0,829.0,1013.0,181.0,3.08,46.5,0.0,15.0,26.0,28.8,34.0,synthetic,0
289.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
291.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
288.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
311.0,834.0,1010.0,183.0,2.65,0.0,0.0,15.1,25.2,30.5,38.3,synthetic,0
282.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
331.0,827.0,1011.0,185.0,2.93,48.4,0.0,15.8,26.2,28.3,32.7,synthetic,0
332.0,824.0,1009.0,186.0,2.86,25.5,0.0,13.6,24.4,27.0,31.3,synthetic,0
335.0,834.0,1019.0,172.0,3.48,41.4,0.0,15.0,26.0,28.8,34.0,synthetic,0
367.0,812.0,993.0,170.0,4.54,59.0,0.0,12.9,24.9,26.8,34.4,synthetic,0
297.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.1,25.2,30.5,38.3,synthetic,0
336.0,836.0,1022.0,167.0,3.68,38.9,0.0,15.0,26.0,28.8,34.0,synthetic,0
344.0,820.0,1003.0,181.0,3.44,53.3,0.0,12.9,24.9,26.8,34.4,synthetic,0
294.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.1,25.2,31.0,38.2,synthetic,0
293.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
332.0,824.0,1009.0,187.0,2.84,27.7,0.0,13.6,24.4,27.0,31.3,synthetic,0
314.0,836.0,1010.0,182.0,2.63,0.0,0.0,16.2,25.8,31.8,39.4,synthetic,0
330.0,825.0,1009.0,188.0,2.8,38.6,0.0,13.5,24.4,27.0,31.3,synthetic,0
287.0,831.0,1009.0,185.0,2.77,0.0,0.0,15.1,25.2,31.0,38.2,synthetic,0
280.0,827.0,1009.0,187.0,2.78,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
289.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
286.0,825.0,1009.0,188.0,2.8,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
313.0,832.0,1016.0,183.0,3.09,58.1,0.0,14.7,25.3,29.8,36.2,synthetic,0
274.0,836.0,1010.0,182.0,2.63,0.0,0.0,15.3,25.3,31.1,38.3,synthetic,0
304.0,829.0,1009.0,186.0,2.78,0.0,0.0,15.1,25.2,30.5,38.3,synthetic,0
330.0,825.0,1009.0,188.0,2.8,46.8,0.0,13.6,24.4,27.0,31.3,synthetic,0
311.0,834.0,1010.0,183.0,2.66,0.0,0.0,15.1,25.2,30.5,38.3,synthetic,0
311.0,834.0,1010.0,183.0,2.66,0.0,0.0,15.1,25.2,30.5,38.3,synthetic,0
367.0,812.0,993.0,170.0,4.55,59.0,0.0,12.9,24.9,26.8,34.4,synthetic,0
294.0,848.0,1018.0,180.0,2.82,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
309.0,859.0,1011.0,180.0,2.52,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
318.0,841.0,1011.0,180.0,2.73,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
302.0,852.0,1018.0,180.0,2.79,0.0,0.0,17.7,27.0,33.3,41.0,synthetic,0
267.0,846.0,1014.0,180.0,2.85,0.0,6.5,17.0,25.9,31.3,38.4,synthetic,0
252.0,865.0,1025.0,180.0,2.6,0.0,28.0,6.4,15.7,22.3,32.4,synthetic,0
270.0,842.0,1011.0,181.0,2.81,0.0,2.3,15.9,24.9,30.9,38.1,synthetic,0
270.0,843.0,1012.0,180.0,2.78,0.0,3.0,18.1,26.5,32.4,39.8,synthetic,0
250.0,860.0,1022.0,180.0,2.97,0.0,17.1,9.5,18.6,25.9,36.0,synthetic,0
282.0,856.0,1022.0,184.0,3.19,0.0,10.3,16.4,25.3,31.0,37.4,synthetic,0
252.0,865.0,1025.0,182.0,3.35,0.0,28.0,6.4,15.7,22.3,32.4,synthetic,0
249.0,856.0,1019.0,180.0,2.78,0.0,10.3,14.6,23.7,29.8,37.6,synthetic,0
252.0,865.0,1025.0,190.0,3.73,0.0,28.0,6.4,15.7,22.3,32.4,synthetic,0
252.0,865.0,1025.0,181.0,3.32,0.0,28.0,6.4,15.7,22.3,32.4,synthetic,0
317.0,851.0,1011.0,184.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9,synthetic,0
253.0,863.0,1024.0,180.0,3.24,0.0,26.2,7.7,17.4,24.3,34.5,synthetic,0
320.0,860.0,1010.0,180.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9,synthetic,0
251.0,860.0,1022.0,180.0,2.98,0.0,17.7,7.7,17.4,24.3,34.5,synthetic,0
258.0,858.0,1021.0,188.0,3.47,0.0,19.8,6.4,15.7,22.3,32.4,synthetic,0
252.0,865.0,1025.0,181.0,3.32,0.0,28.0,6.4,15.7,22.3,32.4,synthetic,0
317.0,852.0,1011.0,183.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9,synthetic,0
270.0,859.0,1023.0,180.0,3.12,0.0,17.3,7.7,17.4,24.3,34.5,synthetic,0
314.0,843.0,1011.0,187.0,0.0,0.0,0.0,14.5,19.9,24.1,33.9,synthetic,0
320.0,860.0,1010.0,180.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9,synthetic,0
251.0,861.0,1022.0,180.0,3.05,0.0,20.0,7.7,17.4,24.3,34.5,synthetic,0
312.0,835.0,1012.0,190.0,0.0,0.0,0.0,14.6,19.4,23.3,32.6,synthetic,0
271.0,859.0,1023.0,180.0,3.11,0.0,17.1,7.7,17.4,24.3,34.5,synthetic,0
251.0,860.0,1025.0,191.0,3.42,0.0,21.2,6.4,15.7,22.3,32.4,synthetic,0
275.0,858.0,1023.0,180.0,3.07,0.0,14.7,10.4,19.6,25.9,34.8,synthetic,0
252.0,865.0,1025.0,185.0,3.53,0.0,28.0,6.4,15.7,22.3,32.4,synthetic,0
252.0,865.0,1025.0,184.0,3.45,0.0,28.0,6.4,15.7,22.3,32.4,synthetic,0
320.0,860.0,1010.0,180.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9,synthetic,0
252.0,865.0,1025.0,180.0,2.77,0.0,28.0,6.4,15.7,22.3,32.4,synthetic,0
311.0,833.0,1012.0,191.0,0.0,0.0,0.0,14.6,19.4,23.3,32.6,synthetic,0
260.0,863.0,1024.0,180.0,3.21,0.0,23.6,7.7,17.4,24.3,34.5,synthetic,0
250.0,858.0,1025.0,191.0,3.23,0.0,17.4,6.4,15.7,22.3,32.4,synthetic,0
320.0,860.0,1010.0,180.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9,synthetic,0
314.0,843.0,1011.0,187.0,0.0,0.0,0.0,14.5,19.9,24.1,33.9,synthetic,0
318.0,855.0,1010.0,182.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9,synthetic,0
316.0,847.0,1011.0,185.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9,synthetic,0
319.0,858.0,1010.0,181.0,0.0,0.0,0.0,16.3,22.4,27.0,35.9,synthetic,0
312.0,837.0,1012.0,189.0,0.0,0.0,0.0,13.8,19.4,23.8,33.9,synthetic,0
234.0,865.0,1025.0,185.0,1.22,0.0,28.0,7.5,16.3,23.6,33.7,synthetic,0
231.0,858.0,1023.0,189.0,0.5,0.0,22.4,6.4,14.4,21.2,31.6,synthetic,0
226.0,865.0,1025.0,188.0,1.0,0.0,28.0,7.5,16.3,23.6,33.7,synthetic,0
225.0,865.0,1025.0,188.0,0.99,0.0,28.0,7.5,16.3,23.6,33.7,synthetic,0
245.0,864.0,1025.0,183.0,2.32,0.0,28.0,6.4,15.7,22.3,32.4,synthetic,0
228.0,859.0,1025.0,191.0,0.16,0.0,26.1,6.4,14.4,21.2,31.6,synthetic,0
229.0,859.0,1021.0,186.0,1.07,0.0,15.9,9.1,17.9,24.1,33.1,synthetic,0
228.0,865.0,1025.0,187.0,1.2,0.0,28.0,7.5,16.3,23.6,33.7,synthetic,0
244.0,863.0,1025.0,184.0,2.18,0.0,28.0,7.5,16.3,23.6,33.7,synthetic,0
227.0,865.0,1025.0,191.0,1.3,0.0,28.0,7.5,16.3,23.6,33.7,synthetic,0
236.0,856.0,1021.0,186.0,1.09,0.0,15.7,9.1,17.9,24.1,33.1,synthetic,0
222.0,865.0,1025.0,189.0,0.69,0.0,28.0,7.5,16.3,23.6,33.7,synthetic,0
222.0,862.0,1025.0,191.0,0.0,0.0,28.0,6.4,14.4,21.2,31.6,synthetic,0
238.0,862.0,1025.0,186.0,1.43,0.0,28.0,7.5,16.3,23.6,33.7,synthetic,0
248.0,865.0,1025.0,181.0,2.0,0.0,28.0,6.4,15.7,22.3,32.4,synthetic,0
246.0,865.0,1025.0,182.0,2.74,0.0,28.0,6.4,15.7,22.3,32.4,synthetic,0
243.0,853.0,1017.0,181.0,2.15,0.0,3.7,16.1,25.0,30.9,37.6,synthetic,0
219.0,865.0,1025.0,190.0,0.4,0.0,28.0,7.6,16.1,22.7,32.7,synthetic,0
266.0,833.0,1015.0,180.0,2.66,0.0,0.0,15.4,25.1,30.8,38.2,synthetic,0
229.0,878.0,950.0,166.0,4.35,0.0,0.0,11.7,25.7,30.8,33.1,synthetic,0
269.0,829.0,1014.0,182.0,2.68,0.0,0.0,15.3,25.3,31.1,38.3,synthetic,0
257.0,837.0,1020.0,184.0,2.52,0.0,0.0,15.3,24.9,31.0,37.7,synthetic,0
272.0,890.0,976.0,152.0,3.46,0.0,0.0,16.4,26.8,32.4,38.7,synthetic,0
277.0,827.0,1011.0,186.0,2.76,0.0,0.0,15.3,25.1,30.2,37.4,synthetic,0
252.0,845.0,1023.0,188.0,2.41,0.0,0.0,15.3,24.9,31.0,37.7,synthetic,0
325.0,887.0,989.0,157.0,4.49,0.0,0.0,18.4,27.2,32.5,39.8,synthetic,0
247.0,848.0,1023.0,187.0,2.37,0.0,0.0,16.1,25.0,30.9,37.6,synthetic,0
329.0,887.0,989.0,157.0,4.57,0.0,0.0,18.4,27.2,32.5,39.8,synthetic,0
260.0,843.0,1018.0,185.0,2.53,0.0,0.0,15.3,24.9,31.0,37.7,synthetic,0
260.0,846.0,1013.0,180.0,2.52,0.0,0.0,17.0,25.9,31.3,38.4,synthetic,0
294.0,919.0,999.0,170.0,3.75,0.0,0.0,11.3,21.8,26.9,34.6,synthetic,0
270.0,841.0,1010.0,180.0,2.55,0.0,0.0,15.9,25.4,31.5,39.1,synthetic,0
249.0,844.0,1025.0,189.0,2.36,0.0,0.0,15.3,24.9,31.0,37.7,synthetic,0
264.0,831.0,1017.0,179.0,2.75,0.0,0.0,15.4,25.1,30.8,38.2,synthetic,0
250.0,844.0,1025.0,190.0,2.36,0.0,0.0,14.2,23.9,29.4,36.4,synthetic,0
265.0,832.0,1015.0,180.0,2.65,0.0,0.0,15.4,25.1,30.8,38.2,synthetic,0
283.0,899.0,985.0,155.0,3.41,0.0,0.0,16.7,26.1,31.1,37.4,synthetic,0
254.0,844.0,1021.0,187.0,2.44,0.0,0.0,15.3,24.9,31.0,37.7,synthetic,0
325.0,841.0,981.0,145.0,4.78,0.0,0.0,15.6,26.8,28.8,45.4,synthetic,0
246.0,883.0,960.0,160.0,4.0,0.0,0.0,16.4,26.8,32.4,38.7,synthetic,0
266.0,841.0,1014.0,182.0,2.51,0.0,0.0,15.9,24.9,30.9,38.1,synthetic,0
269.0,832.0,1015.0,189.0,2.64,0.0,0.0,14.5,24.6,29.9,37.3,synthetic,0
256.0,844.0,1020.0,186.0,2.47,0.0,0.0,15.3,24.9,31.0,37.7,synthetic,0
268.0,842.0,1011.0,180.0,2.68,0.0,0.0,15.9,24.9,30.9,38.1,synthetic,0
333.0,886.0,990.0,158.0,4.69,0.0,0.0,18.4,27.2,32.5,39.8,synthetic,0
284.0,899.0,986.0,155.0,3.42,0.0,0.0,16.7,26.1,31.1,37.4,synthetic,0
268.0,835.0,1013.0,180.0,2.68,0.0,0.0,15.4,25.1,30.8,38.2,synthetic,0
667.0,755.0,1037.0,267.0,2.14,0.0,0.0,20.4154,33.4947,42.894380799409845,55.5442,boxcrete,0
201.0,611.0,1176.0,267.0,0.0,466.0,0.0,3.0268,19.1399,30.607885811176047,55.3304,boxcrete,0
133.0,611.0,1176.0,200.0,1.43,534.0,0.0,2.689,22.5183,43.93920242746286,77.4833,boxcrete,0
133.0,611.0,1176.0,200.0,0.53,533.0,0.0,0.917,0.917,5.485222307592181,23.5111,boxcrete,0
133.0,611.0,1176.0,200.0,0.71,533.0,0.0,1.0618,16.1406,35.79914567067078,74.098,boxcrete,0
201.0,611.0,1176.0,200.0,1.78,466.0,0.0,4.4747,35.4598,53.17417681770081,80.3102,boxcrete,0
201.0,611.0,1176.0,233.0,0.89,466.0,0.0,5.0194,17.7333,40.93439227867586,65.0245,boxcrete,0
667.0,611.0,1176.0,333.0,0.0,0.0,0.0,12.5829,17.1197,31.131675708002355,38.8658,boxcrete,0
467.0,611.0,1176.0,333.0,0.0,200.0,0.0,5.6399,10.1422,19.99687817677915,41.3961,boxcrete,0
400.0,611.0,1176.0,333.0,0.0,267.0,0.0,3.213,13.8102,28.562157186951367,46.0777,boxcrete,0
267.0,611.0,1176.0,233.0,0.0,400.0,0.0,1.4272,15.5891,33.44507577922839,58.5227,boxcrete,0
667.0,611.0,1176.0,267.0,2.14,0.0,0.0,33.7636,46.9602,54.0644594050355,65.4382,boxcrete,0
200.0,611.0,1176.0,233.0,0.0,467.0,0.0,0.5447,4.0334,18.145924367523044,40.0999,boxcrete,0
500.0,667.0,1282.0,200.0,0.36,0.0,0.0,30.8678,39.3277,48.09385447608065,56.8266,boxcrete,0
400.0,700.0,1347.0,160.0,0.89,0.0,0.0,32.9914,47.0981,55.82477532046978,66.3552,boxcrete,0
280.0,700.0,1347.0,160.0,0.89,120.0,0.0,14.8099,35.3425,53.94377092991482,69.2234,boxcrete,0
240.0,700.0,1347.0,160.0,0.71,160.0,0.0,6.7293,34.0256,49.780034416484696,71.5676,boxcrete,0
80.0,700.0,1347.0,160.0,0.89,320.0,0.0,4.4471,15.0788,28.77830663855119,55.1098,boxcrete,0
160.0,700.0,1347.0,140.0,0.89,240.0,0.0,1.248,20.3395,38.04482729917432,51.366,boxcrete,0
120.0,700.0,1347.0,140.0,0.71,280.0,0.0,0.5378,5.4538,17.563278856318313,36.0941,boxcrete,0
263.0,867.0,1129.0,130.0,2.04,108.0,0.0,27.6066,42.3545,51.28657491592322,64.4246,boxcrete,0
225.0,818.0,1073.0,157.0,2.04,223.0,0.0,15.0168,35.5149,44.6564778178459,61.1289,boxcrete,0
667.0,423.0,1356.0,267.0,2.14,0.0,0.0,30.661,42.8578,54.62493355317953,64.4729,boxcrete,0
210.0,942.0,1054.0,130.0,2.04,161.0,0.0,13.8929,32.957,41.70544997298572,57.7229,boxcrete,0
179.0,946.0,1051.0,130.0,1.28,191.0,0.0,18.1539,32.8053,40.18987754285328,56.9231,boxcrete,0
148.0,875.0,1121.0,130.0,1.4,222.0,0.0,11.5005,29.9577,42.4448928243617,53.6688,boxcrete,0
263.0,818.0,1129.0,148.0,0.59,108.0,0.0,15.8511,25.4623,34.79805381355547,46.5879,boxcrete,0
263.0,768.0,1129.0,167.0,0.0,108.0,0.0,11.6659,22.3804,31.007928708165338,43.4025,boxcrete,0
263.0,719.0,1129.0,186.0,0.0,108.0,0.0,8.4116,19.5742,25.210834507711308,31.9296,boxcrete,0
237.0,881.0,1147.0,130.0,1.02,97.0,0.0,17.1266,30.0956,38.72406517598215,52.1451,boxcrete,0
210.0,895.0,1166.0,130.0,0.77,86.0,0.0,14.8513,25.1383,32.889576521394844,47.7531,boxcrete,0
184.0,909.0,1184.0,130.0,0.0,76.0,0.0,7.7773,17.1542,23.9824579790305,36.0941,boxcrete,0
225.0,758.0,1073.0,179.0,0.0,223.0,0.0,10.1836,22.2494,30.843399908773392,45.9122,boxcrete,0
667.0,815.0,928.0,267.0,2.14,0.0,0.0,36.2458,49.6147,55.4279477676162,65.4313,boxcrete,0
179.0,898.0,1051.0,148.0,0.51,191.0,0.0,14.0515,24.766,33.511955384999126,46.6499,boxcrete,0
179.0,849.0,1051.0,167.0,0.0,191.0,0.0,10.4456,20.6705,27.74552358815853,42.9475,boxcrete,0
179.0,800.0,1051.0,185.0,0.0,191.0,0.0,5.9984,13.8516,21.935991690363302,33.8257,boxcrete,0
162.0,961.0,1068.0,130.0,0.77,172.0,0.0,8.8046,20.0017,28.652461398039698,38.9554,boxcrete,0
144.0,977.0,1085.0,131.0,0.77,153.0,0.0,10.7489,20.6636,30.576661560492337,43.1543,boxcrete,0
126.0,992.0,1103.0,130.0,1.28,134.0,0.0,4.8953,13.8516,22.99524433159302,34.6186,boxcrete,0
210.0,895.0,1166.0,130.0,1.28,86.0,0.0,15.5339,22.6907,31.269914039269416,41.3065,boxcrete,0
210.0,895.0,1166.0,130.0,1.02,86.0,0.0,11.0247,15.1892,24.17476402496976,38.0729,boxcrete,0
180.0,895.0,1166.0,132.0,0.5,120.0,0.0,9.5699,18.4021,26.156022387233467,37.0249,boxcrete,0
150.0,895.0,1166.0,132.0,0.75,150.0,0.0,7.1568,16.644,23.556453521548875,35.4184,boxcrete,0
201.0,611.0,1176.0,167.0,3.56,466.0,0.0,6.2122,38.7899,65.530618976823,102.8974,boxcrete,0
150.0,895.0,1166.0,132.0,1.25,150.0,0.0,8.0531,22.1253,30.584767426964973,42.4855,boxcrete,0
210.0,895.0,1166.0,120.0,2.0,90.0,0.0,20.4981,33.5568,44.28782812415214,56.8266,boxcrete,0
180.0,895.0,1166.0,120.0,1.25,120.0,0.0,11.266,22.3666,32.17906514195418,45.2227,boxcrete,0
150.0,895.0,1166.0,120.0,1.0,150.0,0.0,7.7635,18.147,27.355777183920026,39.1622,boxcrete,0
150.0,895.0,1166.0,120.0,1.25,150.0,0.0,11.5487,24.8901,36.10275152854467,49.0355,boxcrete,0
201.0,611.0,1176.0,167.0,4.63,466.0,0.0,12.4726,41.6444,69.23232576922811,110.5161,boxcrete,0
455.0,611.0,1176.0,200.0,2.85,212.0,0.0,36.0527,52.2692,63.16383122255543,81.6891,boxcrete,0
887.0,516.0,993.0,285.0,1.43,64.0,0.0,40.8721,51.8417,55.674246454151174,63.88,boxcrete,0
229.0,611.0,1176.0,200.0,2.49,437.0,0.0,7.0464,26.0829,49.86041931444291,79.6207,boxcrete,0
353.33,1833.0,0.0,140.0,6.67,313.34000000000003,0.0,34.4738,49.8836,55.2242384024931,74.8702,boxcrete,0
529.6,1833.0,0.0,276.0,0.0,137.07,0.0,21.2634,30.5714,37.35630240185013,46.0225,boxcrete,0
503.07,1833.0,0.0,237.0,0.0,163.6,0.0,28.3099,35.0392,43.22106476713623,46.9051,boxcrete,0
495.2,1833.0,0.0,297.0,0.0,171.47,0.0,21.098,28.5236,35.09286298649734,46.9326,boxcrete,0
