cement,slag_kg,fly_ash,microsilica_kg,water,plasticizer_kg,gravel,sand,age,slump,strength_28,source,strength_1,strength_3,strength_7
332.0,0.0,170.0,0.0,160.0,6.0,900.0,806.0,28,0.0,58.53,UCI_Slump_Test_Yeh2007,,,
326.0,0.0,167.0,0.0,174.0,6.0,884.0,792.0,28,215.0,52.65,UCI_Slump_Test_Yeh2007,,,
320.0,0.0,163.0,0.0,188.0,9.0,866.0,776.0,28,235.0,45.69,UCI_Slump_Test_Yeh2007,,,
342.0,136.0,0.0,0.0,225.0,11.0,770.0,747.0,28,210.0,32.04,UCI_Slump_Test_Yeh2007,,,
356.0,142.0,0.0,0.0,193.0,11.0,801.0,778.0,28,80.0,36.46,UCI_Slump_Test_Yeh2007,,,
309.0,0.0,142.0,0.0,218.0,10.0,912.0,680.0,28,240.0,38.59,UCI_Slump_Test_Yeh2007,,,
322.0,0.0,149.0,0.0,186.0,8.0,951.0,709.0,28,205.0,45.42,UCI_Slump_Test_Yeh2007,,,
159.0,193.0,0.0,0.0,208.0,12.0,821.0,818.0,28,230.0,19.19,UCI_Slump_Test_Yeh2007,,,
307.0,110.0,0.0,0.0,189.0,10.0,904.0,765.0,28,220.0,31.5,UCI_Slump_Test_Yeh2007,,,
313.0,124.0,0.0,0.0,205.0,11.0,846.0,758.0,28,220.0,29.63,UCI_Slump_Test_Yeh2007,,,
143.0,131.0,168.0,0.0,217.0,6.0,891.0,672.0,28,250.0,26.42,UCI_Slump_Test_Yeh2007,,,
140.0,128.0,164.0,0.0,237.0,6.0,869.0,656.0,28,240.0,29.5,UCI_Slump_Test_Yeh2007,,,
278.0,0.0,117.0,0.0,205.0,9.0,875.0,799.0,28,190.0,32.71,UCI_Slump_Test_Yeh2007,,,
288.0,0.0,121.0,0.0,177.0,7.0,908.0,829.0,28,225.0,39.93,UCI_Slump_Test_Yeh2007,,,
299.0,107.0,0.0,0.0,210.0,10.0,881.0,745.0,28,250.0,28.29,UCI_Slump_Test_Yeh2007,,,
291.0,104.0,0.0,0.0,231.0,9.0,857.0,725.0,28,230.0,30.43,UCI_Slump_Test_Yeh2007,,,
265.0,86.0,111.0,0.0,195.0,6.0,833.0,790.0,28,270.0,37.39,UCI_Slump_Test_Yeh2007,,,
159.0,0.0,248.0,0.0,175.0,12.0,,683.0,28,210.0,35.39,UCI_Slump_Test_Yeh2007,,,
160.0,0.0,250.0,0.0,168.0,12.0,,688.0,28,180.0,37.66,UCI_Slump_Test_Yeh2007,,,
166.0,0.0,260.0,0.0,183.0,13.0,859.0,827.0,28,210.0,40.34,UCI_Slump_Test_Yeh2007,,,
320.0,127.0,164.0,0.0,211.0,6.0,721.0,723.0,28,20.0,46.36,UCI_Slump_Test_Yeh2007,,,
336.0,134.0,0.0,0.0,222.0,6.0,756.0,787.0,28,260.0,31.9,UCI_Slump_Test_Yeh2007,,,
276.0,90.0,116.0,0.0,180.0,9.0,870.0,768.0,28,0.0,44.08,UCI_Slump_Test_Yeh2007,,,
313.0,112.0,0.0,0.0,220.0,10.0,794.0,789.0,28,230.0,28.16,UCI_Slump_Test_Yeh2007,,,
322.0,116.0,0.0,0.0,196.0,10.0,818.0,813.0,28,255.0,29.77,UCI_Slump_Test_Yeh2007,,,
294.0,106.0,136.0,0.0,207.0,6.0,747.0,778.0,28,240.0,41.27,UCI_Slump_Test_Yeh2007,,,
146.0,106.0,137.0,0.0,209.0,6.0,875.0,765.0,28,240.0,27.89,UCI_Slump_Test_Yeh2007,,,
149.0,109.0,139.0,0.0,193.0,6.0,892.0,780.0,28,235.0,28.7,UCI_Slump_Test_Yeh2007,,,
159.0,0.0,187.0,0.0,176.0,11.0,990.0,789.0,28,120.0,32.57,UCI_Slump_Test_Yeh2007,,,
261.0,78.0,100.0,0.0,201.0,9.0,864.0,761.0,28,230.0,34.18,UCI_Slump_Test_Yeh2007,,,
140.0,1.4,198.1,0.0,174.9,4.4,,780.5,28,162.5,30.83,UCI_Slump_Test_Yeh2007,,,
141.1,0.6,209.5,0.0,188.8,4.6,996.1,789.2,28,235.0,30.43,UCI_Slump_Test_Yeh2007,,,
140.1,4.2,215.9,0.0,193.9,4.7,,710.1,28,245.0,26.42,UCI_Slump_Test_Yeh2007,,,
140.1,11.8,226.1,0.0,207.8,4.9,,683.8,28,210.0,26.28,UCI_Slump_Test_Yeh2007,,,
160.2,0.3,240.0,0.0,233.5,9.2,781.0,841.1,28,240.0,36.19,UCI_Slump_Test_Yeh2007,,,
140.2,30.5,239.0,0.0,169.4,5.3,,742.7,28,212.5,36.32,UCI_Slump_Test_Yeh2007,,,
140.2,44.8,234.9,0.0,171.3,5.5,,704.0,28,235.0,33.78,UCI_Slump_Test_Yeh2007,,,
140.5,61.1,238.9,0.0,182.5,5.7,,681.4,28,245.0,30.97,UCI_Slump_Test_Yeh2007,,,
143.3,91.8,239.8,0.0,200.8,6.2,964.8,647.1,28,250.0,27.09,UCI_Slump_Test_Yeh2007,,,
194.3,0.3,240.0,0.0,234.2,8.9,780.6,811.3,28,265.0,38.46,UCI_Slump_Test_Yeh2007,,,
150.4,110.9,239.7,0.0,168.1,6.5,,667.2,28,95.0,37.92,UCI_Slump_Test_Yeh2007,,,
150.3,111.4,238.8,0.0,167.3,6.5,999.5,670.5,28,145.0,38.19,UCI_Slump_Test_Yeh2007,,,
155.4,122.1,240.0,0.0,179.9,6.7,966.8,652.5,28,145.0,35.52,UCI_Slump_Test_Yeh2007,,,
165.3,143.2,238.3,0.0,200.4,7.1,883.2,652.6,28,170.0,32.84,UCI_Slump_Test_Yeh2007,,,
303.8,0.2,239.8,0.0,236.4,8.3,780.1,715.3,28,250.0,44.48,UCI_Slump_Test_Yeh2007,,,
172.0,162.1,238.5,0.0,166.0,7.4,953.3,641.4,28,0.0,41.54,UCI_Slump_Test_Yeh2007,,,
172.8,158.3,239.5,0.0,166.4,7.4,952.6,644.1,28,0.0,41.81,UCI_Slump_Test_Yeh2007,,,
184.3,153.4,239.2,0.0,179.0,7.5,920.2,640.9,28,0.0,41.01,UCI_Slump_Test_Yeh2007,,,
215.6,112.9,239.0,0.0,198.7,7.4,884.0,649.1,28,275.0,39.13,UCI_Slump_Test_Yeh2007,,,
295.3,0.0,239.9,0.0,236.2,8.3,780.3,722.9,28,250.0,44.08,UCI_Slump_Test_Yeh2007,,,
248.3,101.0,239.1,0.0,168.9,7.7,954.2,640.6,28,0.0,49.97,UCI_Slump_Test_Yeh2007,,,
248.0,101.0,239.9,0.0,169.1,7.7,949.9,644.1,28,20.0,50.23,UCI_Slump_Test_Yeh2007,,,
258.8,88.0,239.6,0.0,175.3,7.6,938.9,646.0,28,0.0,50.5,UCI_Slump_Test_Yeh2007,,,
297.1,40.9,239.9,0.0,194.0,7.5,908.9,651.8,28,275.0,49.17,UCI_Slump_Test_Yeh2007,,,
348.7,0.1,223.1,0.0,208.5,9.6,786.2,758.1,28,290.0,48.77,UCI_Slump_Test_Yeh2007,,,
380.0,0.0,0.0,0.0,171.0,6.84,,832.0,28,210.0,42.8,Mendeley_Guangxi2022,,,
338.0,0.0,60.0,0.0,171.0,7.16,,824.0,28,205.0,42.2,Mendeley_Guangxi2022,,,
241.0,0.0,42.0,0.0,170.0,4.24,,896.0,28,180.0,24.4,Mendeley_Guangxi2022,,,
358.0,0.0,0.0,0.0,172.0,5.37,,823.0,28,180.0,41.6,Mendeley_Guangxi2022,,,
304.0,0.0,54.0,0.0,172.0,5.37,,823.0,28,190.0,41.2,Mendeley_Guangxi2022,,,
205.0,0.0,36.0,0.0,190.0,3.62,,925.0,28,180.0,22.2,Mendeley_Guangxi2022,,,
425.0,0.0,0.0,0.0,170.0,6.38,,758.0,28,195.0,52.4,Mendeley_Guangxi2022,,,
369.0,0.0,65.0,0.0,165.0,7.81,,738.0,28,205.0,53.5,Mendeley_Guangxi2022,,,
321.0,0.0,0.0,0.0,170.0,4.82,,859.0,28,180.0,36.4,Mendeley_Guangxi2022,,,
281.0,0.0,50.0,0.0,172.0,4.96,,835.0,28,185.0,35.8,Mendeley_Guangxi2022,,,
353.0,0.0,62.0,0.0,170.0,6.22,,780.0,28,180.0,46.6,Mendeley_Guangxi2022,,,
391.0,0.0,0.0,0.0,172.0,5.86,,790.0,28,180.0,46.2,Mendeley_Guangxi2022,,,
293.0,0.0,0.0,0.0,170.0,4.4,,891.0,28,180.0,30.6,Mendeley_Guangxi2022,,,
266.0,0.0,47.0,0.0,172.0,4.7,,843.0,28,180.0,29.8,Mendeley_Guangxi2022,,,
209.0,0.0,40.0,0.0,174.0,3.74,989.0,988.0,28,195.0,23.9,Mendeley_Guangxi2022,,,
235.0,0.0,45.0,0.0,171.0,4.2,,965.0,28,190.0,28.5,Mendeley_Guangxi2022,,,
270.0,0.0,51.0,0.0,170.0,4.82,,926.0,28,195.0,37.4,Mendeley_Guangxi2022,,,
319.0,0.0,61.0,0.0,167.0,5.7,,866.0,28,190.0,43.25,Mendeley_Guangxi2022,,,
332.0,0.0,63.0,0.0,174.0,7.11,968.0,893.0,28,215.0,42.55,Mendeley_Guangxi2022,,,
324.0,0.0,62.0,0.0,170.0,5.79,,843.0,28,195.0,42.5,Mendeley_Guangxi2022,,,
216.0,0.0,144.0,0.0,162.0,5.4,,789.0,28,200.0,43.2,Mendeley_Guangxi2022,,,
344.0,0.0,66.0,0.0,168.0,6.15,,842.0,28,195.0,47.0,Mendeley_Guangxi2022,,,
276.0,0.0,0.0,0.0,171.0,4.14,,927.0,28,195.0,28.95,Mendeley_Guangxi2022,,,
309.0,0.0,0.0,0.0,170.0,4.64,,893.0,28,195.0,37.55,Mendeley_Guangxi2022,,,
373.0,0.0,0.0,0.0,168.0,5.6,,869.0,28,200.0,42.0,Mendeley_Guangxi2022,,,
384.0,0.0,0.0,0.0,173.0,6.91,993.0,880.0,28,220.0,42.05,Mendeley_Guangxi2022,,,
384.0,0.0,0.0,0.0,168.0,5.76,,841.0,28,200.0,41.15,Mendeley_Guangxi2022,,,
395.0,0.0,0.0,0.0,166.0,5.92,,822.0,28,200.0,45.35,Mendeley_Guangxi2022,,,
431.0,0.0,0.0,0.0,168.0,7.76,,796.0,28,200.0,50.9,Mendeley_Guangxi2022,,,
470.0,0.0,0.0,0.0,190.0,5.64,929.0,761.0,28,115.0,35.85,Mendeley_Guangxi2022,,,
450.0,0.0,0.0,0.0,188.0,5.4,942.0,770.0,28,110.0,28.25,Mendeley_Guangxi2022,,,
250.0,0.0,0.0,0.0,270.0,0.0,0.0,,28,60.0,12.8,Mendeley_Guangxi2022,,,
300.0,0.0,0.0,0.0,270.0,0.0,0.0,,28,64.0,16.8,Mendeley_Guangxi2022,,,
320.0,0.0,0.0,0.0,280.0,0.0,0.0,,28,65.0,18.8,Mendeley_Guangxi2022,,,
400.0,0.0,0.0,0.0,280.0,0.0,0.0,,28,66.0,26.0,Mendeley_Guangxi2022,,,
540.0,0.0,0.0,0.0,300.0,0.0,0.0,,28,65.0,38.3,Mendeley_Guangxi2022,,,
560.0,0.0,0.0,0.0,250.0,5.6,0.0,,28,116.0,39.2,Mendeley_Guangxi2022,,,
500.0,0.0,0.0,0.0,240.0,0.0,805.0,805.0,28,110.0,40.33333333,Mendeley_Guangxi2022,,,
469.0,0.0,0.0,0.0,230.0,0.0,825.0,826.0,28,120.0,34.88333333,Mendeley_Guangxi2022,,,
500.0,0.0,4.0,0.0,185.0,0.0,833.0,832.0,28,120.0,42.0,Mendeley_Guangxi2022,,,
460.0,0.0,3.68,0.0,184.0,0.0,853.0,853.0,28,110.0,36.4,Mendeley_Guangxi2022,,,
386.0,0.0,0.0,0.0,170.0,6.95,,830.0,28,220.0,48.2,Mendeley_Guangxi2022,,,
320.0,0.0,80.0,0.0,168.0,7.2,,788.0,28,220.0,44.81666667,Mendeley_Guangxi2022,,,
313.0,0.0,69.0,0.0,172.0,5.73,,775.0,28,200.0,42.33333333,Mendeley_Guangxi2022,,,
375.0,0.0,0.0,0.0,165.0,5.62,,818.0,28,200.0,49.16666667,Mendeley_Guangxi2022,,,
305.0,0.0,54.0,0.0,165.0,5.38,,807.0,28,200.0,39.13333333,Mendeley_Guangxi2022,,,
344.0,0.0,0.0,0.0,165.0,5.16,,832.0,28,200.0,37.6,Mendeley_Guangxi2022,,,
317.0,0.0,0.0,0.0,165.0,4.76,,825.0,28,200.0,41.88333333,Mendeley_Guangxi2022,,,
286.0,0.0,50.0,0.0,168.0,5.04,,834.0,28,200.0,39.08333333,Mendeley_Guangxi2022,,,
365.0,0.0,0.0,0.0,168.0,5.48,,821.0,28,200.0,37.9,Mendeley_Guangxi2022,,,
382.0,0.0,0.0,0.0,168.0,5.73,,814.0,28,200.0,46.55,Mendeley_Guangxi2022,,,
378.0,0.0,0.0,0.0,170.0,5.67,,815.0,28,200.0,44.56666667,Mendeley_Guangxi2022,,,
336.0,0.0,59.0,0.0,170.0,5.92,,771.0,28,200.0,44.08333333,Mendeley_Guangxi2022,,,
434.0,0.0,0.0,0.0,165.0,7.81,,740.0,28,200.0,54.18333333,Mendeley_Guangxi2022,,,
382.0,0.0,67.0,0.0,166.0,8.08,,771.0,28,200.0,53.86666667,Mendeley_Guangxi2022,,,
444.0,0.0,0.0,0.0,160.0,7.99,,757.0,28,200.0,53.05,Mendeley_Guangxi2022,,,
376.0,0.0,66.0,0.0,168.0,7.96,,736.0,28,200.0,54.1,Mendeley_Guangxi2022,,,
275.0,0.0,0.0,0.0,165.0,4.13,,834.0,28,200.0,29.05,Mendeley_Guangxi2022,,,
295.0,0.0,0.0,0.0,165.0,4.43,,845.0,28,200.0,33.8,Mendeley_Guangxi2022,,,
259.0,0.0,46.0,0.0,168.0,4.58,,820.0,28,200.0,32.21666667,Mendeley_Guangxi2022,,,
446.0,0.0,0.0,0.0,165.0,6.69,,772.0,28,200.0,52.23333333,Mendeley_Guangxi2022,,,
242.0,0.0,0.0,0.0,160.0,3.63,,851.0,28,180.0,26.41666667,Mendeley_Guangxi2022,,,
383.0,0.0,0.0,0.0,153.0,6.13,,719.0,28,50.0,7.9,Mendeley_Guangxi2022,,,
393.0,0.0,0.0,0.0,165.0,5.5,,792.0,28,190.0,49.6,Mendeley_Guangxi2022,,,
225.0,0.0,150.0,0.0,165.0,7.5,,763.0,28,220.0,35.1,Mendeley_Guangxi2022,,,
234.0,0.0,41.0,0.0,165.0,3.9,,834.0,28,200.0,28.4,Mendeley_Guangxi2022,,,
252.0,0.0,48.0,0.0,168.0,4.2,,880.0,28,190.0,32.8,Mendeley_Guangxi2022,,,
293.0,0.0,0.0,0.0,168.0,4.1,,881.0,28,190.0,35.5,Mendeley_Guangxi2022,,,
257.0,0.0,45.0,0.0,166.0,4.5,,880.0,28,210.0,33.0,Mendeley_Guangxi2022,,,
276.0,0.0,60.0,0.0,168.0,5.0,,853.0,28,200.0,36.6,Mendeley_Guangxi2022,,,
323.0,0.0,0.0,0.0,168.0,4.8,,859.0,28,200.0,39.2,Mendeley_Guangxi2022,,,
293.0,0.0,64.0,0.0,168.0,5.4,,863.0,28,220.0,35.5,Mendeley_Guangxi2022,,,
343.0,0.0,0.0,0.0,169.0,5.1,,869.0,28,210.0,41.8,Mendeley_Guangxi2022,,,
313.0,0.0,60.0,0.0,168.0,6.0,,818.0,28,200.0,42.1,Mendeley_Guangxi2022,,,
370.0,0.0,0.0,0.0,170.0,5.9,,837.0,28,200.0,44.3,Mendeley_Guangxi2022,,,
321.0,0.0,70.0,0.0,168.0,7.0,976.0,865.0,28,220.0,42.7,Mendeley_Guangxi2022,,,
378.0,0.0,0.0,0.0,170.0,6.8,,852.0,28,220.0,48.8,Mendeley_Guangxi2022,,,
317.0,0.0,65.0,0.0,168.0,6.5,980.0,870.0,28,210.0,41.8,Mendeley_Guangxi2022,,,
365.0,0.0,0.0,0.0,168.0,6.2,990.0,877.0,28,220.0,44.0,Mendeley_Guangxi2022,,,
325.0,0.0,57.0,0.0,168.0,6.5,999.0,851.0,28,200.0,44.8,Mendeley_Guangxi2022,,,
373.0,0.0,0.0,0.0,168.0,6.3,,855.0,28,200.0,42.9,Mendeley_Guangxi2022,,,
376.0,0.0,70.0,0.0,165.0,8.0,,791.0,28,200.0,50.8,Mendeley_Guangxi2022,,,
423.0,0.0,0.0,0.0,165.0,7.6,,801.0,28,200.0,52.0,Mendeley_Guangxi2022,,,
385.0,0.0,73.0,0.0,165.0,8.2,,822.0,28,220.0,51.7,Mendeley_Guangxi2022,,,
434.0,0.0,0.0,0.0,165.0,7.8,,833.0,28,200.0,52.1,Mendeley_Guangxi2022,,,
340.0,0.0,60.0,0.0,168.0,6.8,,806.0,28,200.0,46.8,Mendeley_Guangxi2022,,,
391.0,0.0,0.0,0.0,168.0,6.6,,829.0,28,200.0,48.2,Mendeley_Guangxi2022,,,
463.0,0.0,0.0,0.0,185.0,6.5,901.0,901.0,28,140.0,35.9,Mendeley_Guangxi2022,,,
500.0,0.0,0.0,0.0,185.0,7.0,883.0,883.0,28,140.0,40.4,Mendeley_Guangxi2022,,,
295.0,0.0,103.0,0.0,171.0,5.97,970.0,861.0,28,220.0,46.35,Mendeley_Guangxi2022,,,
338.0,0.0,60.0,0.0,163.0,5.17,975.0,864.0,28,200.0,50.85,Mendeley_Guangxi2022,,,
296.0,0.0,52.0,0.0,160.0,3.83,,776.0,28,200.0,45.35,Mendeley_Guangxi2022,,,
280.0,0.0,50.0,0.0,165.0,3.96,,838.0,28,190.0,40.45,Mendeley_Guangxi2022,,,
269.0,0.0,48.0,0.0,168.0,3.8,,862.0,28,195.0,33.5,Mendeley_Guangxi2022,,,
238.0,0.0,42.0,0.0,168.0,3.36,,937.0,28,185.0,28.75,Mendeley_Guangxi2022,,,
350.0,0.0,62.0,0.0,165.0,5.36,,784.0,28,200.0,51.65,Mendeley_Guangxi2022,,,
357.0,0.0,63.0,0.0,168.0,6.3,,725.0,28,190.0,55.45,Mendeley_Guangxi2022,,,
494.0,0.0,0.0,0.0,158.0,7.41,,737.0,28,200.0,68.05,Mendeley_Guangxi2022,,,
480.0,0.0,47.0,0.0,158.0,7.91,,706.0,28,200.0,72.1,Mendeley_Guangxi2022,,,
318.0,0.0,80.0,0.0,171.0,5.17,970.0,861.0,28,190.0,46.35,Mendeley_Guangxi2022,,,
214.0,0.0,71.0,0.0,165.0,3.42,,917.0,28,180.0,26.4,Mendeley_Guangxi2022,,,
267.0,0.0,47.0,0.0,164.0,3.77,,903.0,28,180.0,34.15,Mendeley_Guangxi2022,,,
450.0,0.0,0.0,0.0,171.0,0.0,840.0,840.0,28,100.0,32.65,Mendeley_Guangxi2022,,,
470.0,0.0,0.0,0.0,178.0,0.0,826.0,826.0,28,100.0,35.85,Mendeley_Guangxi2022,,,
293.0,0.0,52.0,0.0,162.0,4.13,,871.0,28,200.0,34.2,Mendeley_Guangxi2022,,,
300.0,0.0,100.0,0.0,163.0,5.6,974.0,863.0,28,210.0,43.7,Mendeley_Guangxi2022,,,
323.0,0.0,57.0,0.0,162.0,4.94,,855.0,28,200.0,39.8,Mendeley_Guangxi2022,,,
298.0,0.0,100.0,0.0,172.0,5.97,970.0,860.0,28,230.0,43.75,Mendeley_Guangxi2022,,,
340.0,0.0,60.0,0.0,165.0,5.2,,826.0,28,180.0,43.7,Mendeley_Guangxi2022,,,
357.0,0.0,63.0,0.0,160.0,5.46,,823.0,28,200.0,57.0,Mendeley_Guangxi2022,,,
311.0,0.0,104.0,0.0,172.0,6.23,997.0,816.0,28,210.0,48.0,Mendeley_Guangxi2022,,,
483.0,0.0,0.0,0.0,162.0,7.25,,742.0,28,200.0,74.25,Mendeley_Guangxi2022,,,
194.0,0.0,65.0,0.0,179.0,3.11,,869.0,28,200.0,21.85,Mendeley_Guangxi2022,,,
214.0,0.0,71.0,0.0,185.0,3.42,,868.0,28,200.0,28.2,Mendeley_Guangxi2022,,,
260.0,0.0,65.0,0.0,172.0,3.9,,837.0,28,190.0,34.3,Mendeley_Guangxi2022,,,
301.0,0.0,75.0,0.0,169.0,4.51,,798.0,28,180.0,40.15,Mendeley_Guangxi2022,,,
301.0,0.0,75.0,0.0,169.0,4.51,,798.0,28,190.0,40.15,Mendeley_Guangxi2022,,,
330.0,0.0,82.0,0.0,169.0,4.94,,768.0,28,190.0,44.85,Mendeley_Guangxi2022,,,
354.0,0.0,89.0,0.0,164.0,5.32,,743.0,28,190.0,50.9,Mendeley_Guangxi2022,,,
314.0,0.0,79.0,0.0,169.0,4.72,,790.0,28,180.0,40.9,Mendeley_Guangxi2022,,,
346.0,0.0,87.0,0.0,169.0,5.2,,759.0,28,185.0,43.9,Mendeley_Guangxi2022,,,
322.0,0.0,80.0,0.0,177.0,6.03,,783.0,28,220.0,40.85,Mendeley_Guangxi2022,,,
418.0,0.0,0.0,0.0,205.0,2.93,838.0,838.0,28,100.0,28.7,Mendeley_Guangxi2022,,,
455.0,0.0,0.0,0.0,250.0,0.0,798.0,798.0,28,105.0,27.7,Mendeley_Guangxi2022,,,
466.0,0.0,0.0,0.0,205.0,3.26,814.0,814.0,28,110.0,35.7,Mendeley_Guangxi2022,,,
480.0,0.0,0.0,0.0,240.0,0.0,790.0,790.0,28,105.0,35.0,Mendeley_Guangxi2022,,,
294.0,0.0,73.0,0.0,169.0,4.4,,802.0,28,180.0,40.5,Mendeley_Guangxi2022,,,
322.0,0.0,80.0,0.0,169.0,4.82,,772.0,28,175.0,45.0,Mendeley_Guangxi2022,,,
346.0,0.0,86.0,0.0,164.0,6.05,,748.0,28,185.0,50.95,Mendeley_Guangxi2022,,,
307.0,0.0,77.0,0.0,169.0,4.61,,794.0,28,170.0,42.05,Mendeley_Guangxi2022,,,
