date;mix_name;cement;sand;gravel;water;plasticizer_kg;plasticizer_type;fly_ash;microsilica_kg;microsilica_type;pm;kmv;mineral_powder;mineral_additive;dolomite;ak5;ak6;strength_1;strength_3;strength_7;strength_28
08.08.2023;Синтетический состав 126;317,0;851,0;1011,0;184,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;2,75;0,0;16,3;22,4;27,0;35,9
14.08.2023;Синтетический состав 128;320,0;860,0;1010,0;180,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;2,1;16,3;22,4;27,0;35,9
18.08.2023;Синтетический состав 132;317,0;852,0;1011,0;183,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;2,75;0,0;16,3;22,4;27,0;35,9
24.08.2023;Синтетический состав 134;314,0;843,0;1011,0;187,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;2,75;0,0;14,5;19,9;24,1;33,9
24.08.2023;Синтетический состав 135;320,0;860,0;1010,0;180,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;1,0;1,3;16,3;22,4;27,0;35,9
29.08.2023;Синтетический состав 137;312,0;835,0;1012,0;190,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;2,75;0,0;14,6;19,4;23,3;32,6
11.09.2023;Синтетический состав 143;320,0;860,0;1010,0;180,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;2,1;16,3;22,4;27,0;35,9
13.09.2023;Синтетический состав 145;311,0;833,0;1012,0;191,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;2,75;0,0;14,6;19,4;23,3;32,6
25.09.2023;Синтетический состав 148;320,0;860,0;1010,0;180,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;2,5;0,2;16,3;22,4;27,0;35,9
02.10.2023;Синтетический состав 149;314,0;843,0;1011,0;187,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;2,08;14,5;19,9;24,1;33,9
04.10.2023;Синтетический состав 150;318,0;855,0;1010,0;182,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;2,75;0,0;16,3;22,4;27,0;35,9
07.10.2023;Синтетический состав 151;316,0;847,0;1011,0;185,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;2,75;0,0;16,3;22,4;27,0;35,9
07.10.2023;Синтетический состав 152;319,0;858,0;1010,0;181,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;2,08;16,3;22,4;27,0;35,9
15.10.2023;Синтетический состав 153;312,0;837,0;1012,0;189,0;0,0;;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;2,08;13,8;19,4;23,8;33,9
21.03.2025;Синтетический состав 179;325,0;887,0;989,0;157,0;4,49;ST 4.3.3.;0,0;0,0;;0,0;50,0;0,0;0,0;0,0;0,0;0,0;18,4;27,2;32,5;39,8
07.04.2025;Синтетический состав 184;294,0;919,0;999,0;170,0;3,75;ST 4.3.3.;0,0;0,0;;0,0;50,0;0,0;0,0;0,0;0,0;0,0;11,3;21,8;26,9;34,6
15.04.2025;Синтетический состав 190;283,0;899,0;985,0;155,0;3,41;ST 4.3.3.;0,0;0,0;;0,0;50,0;0,0;0,0;0,0;0,0;0,0;16,7;26,1;31,1;37,4
15.04.2025;Синтетический состав 199;284,0;899,0;986,0;155,0;3,42;ST 4.3.3.;0,0;0,0;;0,0;50,0;0,0;0,0;0,0;0,0;0,0;16,7;26,1;31,1;37,4
